adm1_name,year_month,value,indicator,date,country
Badakhshan,2017-01,15,conflict_events,2017-01-01,Afghanistan
Badakhshan,2017-02,7,conflict_events,2017-02-01,Afghanistan
Badakhshan,2017-03,3,conflict_events,2017-03-01,Afghanistan
Badakhshan,2017-04,7,conflict_events,2017-04-01,Afghanistan
Badakhshan,2017-05,31,conflict_events,2017-05-01,Afghanistan
Badakhshan,2017-06,9,conflict_events,2017-06-01,Afghanistan
Badakhshan,2017-07,20,conflict_events,2017-07-01,Afghanistan
Badakhshan,2017-08,17,conflict_events,2017-08-01,Afghanistan
Badakhshan,2017-09,11,conflict_events,2017-09-01,Afghanistan
Badakhshan,2017-10,27,conflict_events,2017-10-01,Afghanistan
Badakhshan,2017-11,4,conflict_events,2017-11-01,Afghanistan
Badakhshan,2017-12,2,conflict_events,2017-12-01,Afghanistan
Badakhshan,2018-01,4,conflict_events,2018-01-01,Afghanistan
Badakhshan,2018-02,10,conflict_events,2018-02-01,Afghanistan
Badakhshan,2018-03,10,conflict_events,2018-03-01,Afghanistan
Badakhshan,2018-04,16,conflict_events,2018-04-01,Afghanistan
Badakhshan,2018-05,36,conflict_events,2018-05-01,Afghanistan
Badakhshan,2018-06,12,conflict_events,2018-06-01,Afghanistan
Badakhshan,2018-07,13,conflict_events,2018-07-01,Afghanistan
Badakhshan,2018-08,14,conflict_events,2018-08-01,Afghanistan
Badakhshan,2018-09,18,conflict_events,2018-09-01,Afghanistan
Badakhshan,2018-10,22,conflict_events,2018-10-01,Afghanistan
Badakhshan,2018-11,7,conflict_events,2018-11-01,Afghanistan
Badakhshan,2018-12,11,conflict_events,2018-12-01,Afghanistan
Badakhshan,2019-01,2,conflict_events,2019-01-01,Afghanistan
Badakhshan,2019-02,3,conflict_events,2019-02-01,Afghanistan
Badakhshan,2019-03,5,conflict_events,2019-03-01,Afghanistan
Badakhshan,2019-04,11,conflict_events,2019-04-01,Afghanistan
Badakhshan,2019-05,4,conflict_events,2019-05-01,Afghanistan
Badakhshan,2019-06,17,conflict_events,2019-06-01,Afghanistan
Badakhshan,2019-07,32,conflict_events,2019-07-01,Afghanistan
Badakhshan,2019-08,26,conflict_events,2019-08-01,Afghanistan
Badakhshan,2019-09,43,conflict_events,2019-09-01,Afghanistan
Badakhshan,2019-10,22,conflict_events,2019-10-01,Afghanistan
Badakhshan,2019-11,16,conflict_events,2019-11-01,Afghanistan
Badakhshan,2019-12,15,conflict_events,2019-12-01,Afghanistan
Badakhshan,2020-01,10,conflict_events,2020-01-01,Afghanistan
Badakhshan,2020-02,17,conflict_events,2020-02-01,Afghanistan
Badakhshan,2020-03,14,conflict_events,2020-03-01,Afghanistan
Badakhshan,2020-04,23,conflict_events,2020-04-01,Afghanistan
Badakhshan,2020-05,21,conflict_events,2020-05-01,Afghanistan
Badakhshan,2020-06,19,conflict_events,2020-06-01,Afghanistan
Badakhshan,2020-07,12,conflict_events,2020-07-01,Afghanistan
Badakhshan,2020-08,25,conflict_events,2020-08-01,Afghanistan
Badakhshan,2020-09,25,conflict_events,2020-09-01,Afghanistan
Badakhshan,2020-10,41,conflict_events,2020-10-01,Afghanistan
Badakhshan,2020-11,20,conflict_events,2020-11-01,Afghanistan
Badakhshan,2020-12,16,conflict_events,2020-12-01,Afghanistan
Badakhshan,2021-01,21,conflict_events,2021-01-01,Afghanistan
Badakhshan,2021-02,10,conflict_events,2021-02-01,Afghanistan
Badakhshan,2021-03,20,conflict_events,2021-03-01,Afghanistan
Badakhshan,2021-04,42,conflict_events,2021-04-01,Afghanistan
Badakhshan,2021-05,37,conflict_events,2021-05-01,Afghanistan
Badakhshan,2021-06,34,conflict_events,2021-06-01,Afghanistan
Badakhshan,2021-07,36,conflict_events,2021-07-01,Afghanistan
Badakhshan,2021-08,8,conflict_events,2021-08-01,Afghanistan
Badakhshan,2021-09,1,conflict_events,2021-09-01,Afghanistan
Badakhshan,2021-10,6,conflict_events,2021-10-01,Afghanistan
Badakhshan,2021-11,6,conflict_events,2021-11-01,Afghanistan
Badakhshan,2021-12,5,conflict_events,2021-12-01,Afghanistan
Badakhshan,2022-01,8,conflict_events,2022-01-01,Afghanistan
Badakhshan,2022-02,5,conflict_events,2022-02-01,Afghanistan
Badakhshan,2022-03,13,conflict_events,2022-03-01,Afghanistan
Badakhshan,2022-04,18,conflict_events,2022-04-01,Afghanistan
Badakhshan,2022-05,7,conflict_events,2022-05-01,Afghanistan
Badakhshan,2022-06,15,conflict_events,2022-06-01,Afghanistan
Badakhshan,2022-07,1,conflict_events,2022-07-01,Afghanistan
Badakhshan,2022-08,7,conflict_events,2022-08-01,Afghanistan
Badakhshan,2022-09,18,conflict_events,2022-09-01,Afghanistan
Badakhshan,2022-10,24,conflict_events,2022-10-01,Afghanistan
Badakhshan,2022-11,1,conflict_events,2022-11-01,Afghanistan
Badakhshan,2022-12,1,conflict_events,2022-12-01,Afghanistan
Badakhshan,2023-01,3,conflict_events,2023-01-01,Afghanistan
Badakhshan,2023-02,2,conflict_events,2023-02-01,Afghanistan
Badakhshan,2023-03,2,conflict_events,2023-03-01,Afghanistan
Badakhshan,2023-04,7,conflict_events,2023-04-01,Afghanistan
Badakhshan,2023-05,4,conflict_events,2023-05-01,Afghanistan
Badakhshan,2023-06,3,conflict_events,2023-06-01,Afghanistan
Badakhshan,2023-07,5,conflict_events,2023-07-01,Afghanistan
Badakhshan,2023-08,22,conflict_events,2023-08-01,Afghanistan
Badakhshan,2023-09,7,conflict_events,2023-09-01,Afghanistan
Badakhshan,2023-10,4,conflict_events,2023-10-01,Afghanistan
Badakhshan,2023-11,1,conflict_events,2023-11-01,Afghanistan
Badakhshan,2023-12,3,conflict_events,2023-12-01,Afghanistan
Badakhshan,2024-01,5,conflict_events,2024-01-01,Afghanistan
Badakhshan,2024-02,1,conflict_events,2024-02-01,Afghanistan
Badakhshan,2024-03,4,conflict_events,2024-03-01,Afghanistan
Badakhshan,2024-04,2,conflict_events,2024-04-01,Afghanistan
Badakhshan,2024-05,4,conflict_events,2024-05-01,Afghanistan
Badakhshan,2024-06,3,conflict_events,2024-06-01,Afghanistan
Badakhshan,2024-07,4,conflict_events,2024-07-01,Afghanistan
Badakhshan,2024-08,4,conflict_events,2024-08-01,Afghanistan
Badakhshan,2024-09,3,conflict_events,2024-09-01,Afghanistan
Badakhshan,2024-10,5,conflict_events,2024-10-01,Afghanistan
Badakhshan,2024-11,6,conflict_events,2024-11-01,Afghanistan
Badakhshan,2024-12,3,conflict_events,2024-12-01,Afghanistan
