adm1_name,year_month,value,indicator,date,country
Baringo,2000-12,1,conflict_events,2000-12-01,Kenya
Baringo,2003-02,1,conflict_events,2003-02-01,Kenya
Baringo,2003-05,1,conflict_events,2003-05-01,Kenya
Baringo,2003-07,1,conflict_events,2003-07-01,Kenya
Baringo,2003-11,1,conflict_events,2003-11-01,Kenya
Baringo,2004-08,1,conflict_events,2004-08-01,Kenya
Baringo,2005-04,3,conflict_events,2005-04-01,Kenya
Baringo,2006-04,1,conflict_events,2006-04-01,Kenya
Baringo,2007-07,1,conflict_events,2007-07-01,Kenya
Baringo,2007-10,1,conflict_events,2007-10-01,Kenya
Baringo,2007-11,2,conflict_events,2007-11-01,Kenya
Baringo,2007-12,1,conflict_events,2007-12-01,Kenya
Baringo,2008-01,2,conflict_events,2008-01-01,Kenya
Baringo,2008-02,1,conflict_events,2008-02-01,Kenya
Baringo,2008-03,3,conflict_events,2008-03-01,Kenya
Baringo,2011-01,1,conflict_events,2011-01-01,Kenya
Baringo,2012-01,1,conflict_events,2012-01-01,Kenya
Baringo,2012-02,1,conflict_events,2012-02-01,Kenya
Baringo,2012-10,2,conflict_events,2012-10-01,Kenya
Baringo,2012-12,2,conflict_events,2012-12-01,Kenya
Baringo,2013-01,3,conflict_events,2013-01-01,Kenya
Baringo,2013-02,3,conflict_events,2013-02-01,Kenya
Baringo,2013-03,3,conflict_events,2013-03-01,Kenya
Baringo,2013-04,2,conflict_events,2013-04-01,Kenya
Baringo,2014-03,5,conflict_events,2014-03-01,Kenya
Baringo,2014-06,3,conflict_events,2014-06-01,Kenya
Baringo,2014-09,1,conflict_events,2014-09-01,Kenya
Baringo,2014-10,2,conflict_events,2014-10-01,Kenya
Baringo,2014-11,2,conflict_events,2014-11-01,Kenya
Baringo,2014-12,1,conflict_events,2014-12-01,Kenya
Baringo,2015-01,1,conflict_events,2015-01-01,Kenya
Baringo,2015-02,1,conflict_events,2015-02-01,Kenya
Baringo,2015-04,1,conflict_events,2015-04-01,Kenya
Baringo,2015-05,2,conflict_events,2015-05-01,Kenya
Baringo,2016-01,1,conflict_events,2016-01-01,Kenya
Baringo,2016-02,1,conflict_events,2016-02-01,Kenya
Baringo,2016-10,1,conflict_events,2016-10-01,Kenya
Baringo,2017-02,5,conflict_events,2017-02-01,Kenya
Baringo,2017-03,8,conflict_events,2017-03-01,Kenya
Baringo,2017-04,3,conflict_events,2017-04-01,Kenya
Baringo,2017-05,3,conflict_events,2017-05-01,Kenya
Baringo,2017-06,4,conflict_events,2017-06-01,Kenya
Baringo,2017-07,3,conflict_events,2017-07-01,Kenya
Baringo,2017-09,1,conflict_events,2017-09-01,Kenya
Baringo,2018-01,1,conflict_events,2018-01-01,Kenya
Baringo,2018-04,1,conflict_events,2018-04-01,Kenya
Baringo,2018-05,5,conflict_events,2018-05-01,Kenya
Baringo,2018-06,1,conflict_events,2018-06-01,Kenya
Baringo,2018-08,1,conflict_events,2018-08-01,Kenya
Baringo,2018-09,2,conflict_events,2018-09-01,Kenya
Baringo,2018-10,1,conflict_events,2018-10-01,Kenya
Baringo,2018-11,4,conflict_events,2018-11-01,Kenya
Baringo,2019-01,4,conflict_events,2019-01-01,Kenya
Baringo,2019-02,1,conflict_events,2019-02-01,Kenya
Baringo,2019-05,1,conflict_events,2019-05-01,Kenya
Baringo,2019-10,2,conflict_events,2019-10-01,Kenya
Baringo,2019-11,2,conflict_events,2019-11-01,Kenya
Baringo,2019-12,1,conflict_events,2019-12-01,Kenya
Baringo,2020-02,2,conflict_events,2020-02-01,Kenya
Baringo,2020-04,2,conflict_events,2020-04-01,Kenya
Baringo,2020-05,1,conflict_events,2020-05-01,Kenya
Baringo,2020-07,2,conflict_events,2020-07-01,Kenya
Baringo,2020-12,1,conflict_events,2020-12-01,Kenya
Baringo,2021-01,7,conflict_events,2021-01-01,Kenya
Baringo,2021-04,3,conflict_events,2021-04-01,Kenya
Baringo,2021-08,3,conflict_events,2021-08-01,Kenya
Baringo,2021-12,1,conflict_events,2021-12-01,Kenya
Baringo,2022-01,6,conflict_events,2022-01-01,Kenya
Baringo,2022-02,5,conflict_events,2022-02-01,Kenya
Baringo,2022-03,10,conflict_events,2022-03-01,Kenya
Baringo,2022-04,5,conflict_events,2022-04-01,Kenya
Baringo,2022-05,5,conflict_events,2022-05-01,Kenya
Baringo,2022-06,1,conflict_events,2022-06-01,Kenya
Baringo,2022-07,1,conflict_events,2022-07-01,Kenya
Baringo,2022-08,2,conflict_events,2022-08-01,Kenya
Baringo,2022-10,2,conflict_events,2022-10-01,Kenya
