adm1_name,year_month,value,indicator,date,country
Abiemnhom,2012-04,1,conflict_events,2012-04-01,South Sudan
Abiemnhom,2013-06,1,conflict_events,2013-06-01,South Sudan
Abiemnhom,2013-11,1,conflict_events,2013-11-01,South Sudan
Abiemnhom,2014-01,1,conflict_events,2014-01-01,South Sudan
Abiemnhom,2017-04,1,conflict_events,2017-04-01,South Sudan
Abiemnhom,2018-04,1,conflict_events,2018-04-01,South Sudan
Abiemnhom,2019-03,4,conflict_events,2019-03-01,South Sudan
Abiemnhom,2019-04,1,conflict_events,2019-04-01,South Sudan
Abiemnhom,2019-05,1,conflict_events,2019-05-01,South Sudan
Abiemnhom,2019-06,2,conflict_events,2019-06-01,South Sudan
Abiemnhom,2019-12,2,conflict_events,2019-12-01,South Sudan
Abiemnhom,2020-03,2,conflict_events,2020-03-01,South Sudan
Abiemnhom,2020-04,1,conflict_events,2020-04-01,South Sudan
Abiemnhom,2020-05,1,conflict_events,2020-05-01,South Sudan
Abiemnhom,2021-02,1,conflict_events,2021-02-01,South Sudan
Abiemnhom,2021-03,3,conflict_events,2021-03-01,South Sudan
Abiemnhom,2021-05,2,conflict_events,2021-05-01,South Sudan
Abiemnhom,2021-07,3,conflict_events,2021-07-01,South Sudan
Abiemnhom,2022-01,1,conflict_events,2022-01-01,South Sudan
Abiemnhom,2022-04,2,conflict_events,2022-04-01,South Sudan
Abiemnhom,2022-06,1,conflict_events,2022-06-01,South Sudan
Abiemnhom,2022-12,1,conflict_events,2022-12-01,South Sudan
Abiemnhom,2023-04,3,conflict_events,2023-04-01,South Sudan
Abiemnhom,2023-10,1,conflict_events,2023-10-01,South Sudan
Abiemnhom,2023-12,1,conflict_events,2023-12-01,South Sudan
Abiemnhom,2024-01,3,conflict_events,2024-01-01,South Sudan
Abiemnhom,2024-03,2,conflict_events,2024-03-01,South Sudan
Abiemnhom,2024-05,1,conflict_events,2024-05-01,South Sudan
Abiemnhom,2025-04,4,conflict_events,2025-04-01,South Sudan
Abiemnhom,2025-05,1,conflict_events,2025-05-01,South Sudan
Abiemnhom,2025-07,2,conflict_events,2025-07-01,South Sudan
Abiemnhom,2025-12,1,conflict_events,2025-12-01,South Sudan
Abiemnhom,2026-02,2,conflict_events,2026-02-01,South Sudan
Abiemnhom,2026-03,1,conflict_events,2026-03-01,South Sudan
Akobo,2011-07,1,conflict_events,2011-07-01,South Sudan
Akobo,2011-12,1,conflict_events,2011-12-01,South Sudan
Akobo,2012-01,4,conflict_events,2012-01-01,South Sudan
Akobo,2012-06,1,conflict_events,2012-06-01,South Sudan
Akobo,2012-10,1,conflict_events,2012-10-01,South Sudan
Akobo,2012-12,1,conflict_events,2012-12-01,South Sudan
Akobo,2013-02,1,conflict_events,2013-02-01,South Sudan
Akobo,2013-05,1,conflict_events,2013-05-01,South Sudan
Akobo,2013-11,1,conflict_events,2013-11-01,South Sudan
Akobo,2013-12,2,conflict_events,2013-12-01,South Sudan
Akobo,2014-05,2,conflict_events,2014-05-01,South Sudan
Akobo,2014-07,2,conflict_events,2014-07-01,South Sudan
Akobo,2015-04,1,conflict_events,2015-04-01,South Sudan
Akobo,2015-05,1,conflict_events,2015-05-01,South Sudan
Akobo,2015-11,2,conflict_events,2015-11-01,South Sudan
Akobo,2016-02,1,conflict_events,2016-02-01,South Sudan
Akobo,2016-03,2,conflict_events,2016-03-01,South Sudan
Akobo,2016-10,1,conflict_events,2016-10-01,South Sudan
Akobo,2016-11,1,conflict_events,2016-11-01,South Sudan
Akobo,2017-04,2,conflict_events,2017-04-01,South Sudan
Akobo,2017-05,1,conflict_events,2017-05-01,South Sudan
Akobo,2017-07,1,conflict_events,2017-07-01,South Sudan
Akobo,2017-09,2,conflict_events,2017-09-01,South Sudan
Akobo,2017-10,1,conflict_events,2017-10-01,South Sudan
Akobo,2018-01,7,conflict_events,2018-01-01,South Sudan
