country,adm1_name,date,year_month,value,year,month
South Sudan,Abiemnhom,2002-07-01,2002-07,-0.9736284430424765,2002,7
South Sudan,Abiemnhom,2002-08-01,2002-08,-1.9060924433788136,2002,8
South Sudan,Abiemnhom,2002-09-01,2002-09,-0.1243798031919699,2002,9
South Sudan,Abiemnhom,2002-10-01,2002-10,0.35584325999240984,2002,10
South Sudan,Abiemnhom,2002-11-01,2002-11,-0.2599766629506422,2002,11
South Sudan,Abiemnhom,2002-12-01,2002-12,-0.6869862481773757,2002,12
South Sudan,Abiemnhom,2003-01-01,2003-01,-0.8241745088395092,2003,1
South Sudan,Abiemnhom,2003-02-01,2003-02,-0.8583097850802172,2003,2
South Sudan,Abiemnhom,2003-03-01,2003-03,-0.3988357714110051,2003,3
South Sudan,Abiemnhom,2003-04-01,2003-04,-1.2905622722673702,2003,4
South Sudan,Abiemnhom,2003-05-01,2003-05,-0.9209756367839378,2003,5
South Sudan,Abiemnhom,2003-06-01,2003-06,-0.3195871497589479,2003,6
South Sudan,Abiemnhom,2003-07-01,2003-07,-0.16281112337980488,2003,7
South Sudan,Abiemnhom,2003-08-01,2003-08,-0.6464418133256229,2003,8
South Sudan,Abiemnhom,2003-09-01,2003-09,-0.8677858846794082,2003,9
South Sudan,Abiemnhom,2003-10-01,2003-10,-1.297356602310309,2003,10
South Sudan,Abiemnhom,2003-11-01,2003-11,-1.413457082096877,2003,11
South Sudan,Abiemnhom,2003-12-01,2003-12,-1.1943156321352855,2003,12
South Sudan,Abiemnhom,2004-01-01,2004-01,-0.9639191656276963,2004,1
South Sudan,Abiemnhom,2004-02-01,2004-02,-0.6126855073999782,2004,2
South Sudan,Abiemnhom,2004-03-01,2004-03,-0.059103734121859285,2004,3
South Sudan,Abiemnhom,2004-04-01,2004-04,-0.44849855178137843,2004,4
South Sudan,Abiemnhom,2004-05-01,2004-05,-0.5410397337074413,2004,5
South Sudan,Abiemnhom,2004-06-01,2004-06,-0.3430683966810125,2004,6
South Sudan,Abiemnhom,2004-07-01,2004-07,-0.6335401577540505,2004,7
South Sudan,Abiemnhom,2004-08-01,2004-08,-1.303809247375702,2004,8
South Sudan,Abiemnhom,2004-09-01,2004-09,-1.3831209823543626,2004,9
South Sudan,Abiemnhom,2004-10-01,2004-10,-1.789988850925993,2004,10
South Sudan,Abiemnhom,2004-11-01,2004-11,-1.5183276571705544,2004,11
South Sudan,Abiemnhom,2004-12-01,2004-12,-1.2282356502285214,2004,12
South Sudan,Abiemnhom,2005-01-01,2005-01,-1.1360339235542172,2005,1
South Sudan,Abiemnhom,2005-02-01,2005-02,-1.1496418853020938,2005,2
South Sudan,Abiemnhom,2005-03-01,2005-03,-0.5354703518715931,2005,3
South Sudan,Abiemnhom,2005-04-01,2005-04,-1.3514956966642657,2005,4
South Sudan,Abiemnhom,2005-05-01,2005-05,-0.6982637695626323,2005,5
South Sudan,Abiemnhom,2005-06-01,2005-06,0.13328953869106472,2005,6
South Sudan,Abiemnhom,2005-07-01,2005-07,0.8245407713392685,2005,7
South Sudan,Abiemnhom,2005-08-01,2005-08,-0.13057557924184499,2005,8
South Sudan,Abiemnhom,2005-09-01,2005-09,-0.9448329125148635,2005,9
South Sudan,Abiemnhom,2005-10-01,2005-10,-1.1940502001422946,2005,10
South Sudan,Abiemnhom,2005-11-01,2005-11,-1.2359320477616822,2005,11
South Sudan,Abiemnhom,2005-12-01,2005-12,-1.2155861625395872,2005,12
South Sudan,Abiemnhom,2006-01-01,2006-01,-1.2641471123363335,2006,1
South Sudan,Abiemnhom,2006-02-01,2006-02,-1.26375350954708,2006,2
South Sudan,Abiemnhom,2006-03-01,2006-03,-0.44407173403578626,2006,3
South Sudan,Abiemnhom,2006-04-01,2006-04,0.1762130778931129,2006,4
South Sudan,Abiemnhom,2006-05-01,2006-05,1.6142194939179677,2006,5
South Sudan,Abiemnhom,2006-06-01,2006-06,1.2437487621920353,2006,6
South Sudan,Abiemnhom,2006-07-01,2006-07,-0.2310956709530798,2006,7
South Sudan,Abiemnhom,2006-08-01,2006-08,-1.8503067245813503,2006,8
South Sudan,Abiemnhom,2006-09-01,2006-09,-0.5567506540196681,2006,9
South Sudan,Abiemnhom,2006-10-01,2006-10,0.1689516754542063,2006,10
South Sudan,Abiemnhom,2006-11-01,2006-11,0.12625389411179988,2006,11
South Sudan,Abiemnhom,2006-12-01,2006-12,-0.1212861465438987,2006,12
South Sudan,Abiemnhom,2007-01-01,2007-01,-0.3589109092104425,2007,1
South Sudan,Abiemnhom,2007-02-01,2007-02,-0.49228192090773554,2007,2
South Sudan,Abiemnhom,2007-03-01,2007-03,-0.17231034903689968,2007,3
South Sudan,Abiemnhom,2007-04-01,2007-04,-0.44622912779760965,2007,4
