indicator,count
rainfall-mm,870
Exchange rate,870
"Wage (non-qualified labour, non-agricultural)",870
Bread,435
Fuel (diesel),435
Oil (cooking),435
ndvi_absolute,435
Pulses,435
Rice (high quality),435
Rice (low quality),435
Sugar,435
Wheat,435
Wheat flour (high quality),435
Wheat flour (low quality),435
Goat,435
Maize,435
Beans,435
ToT,435
"Fuel (diesel, parallel market)",435
"Fuel (petrol-gasoline, parallel market)",435
Sorghum (local),435
"Sorghum (red, local)",435
Sorghum flour,435
"Beans (fava, dry)",435
Cowpeas,435
"Wage (non-qualified labour, agricultural)",435
Rice,435
ToT (Labour/Cereal),435
conflict_events,435
conflict_fatalities,435
percent_area_flooded,435
