country,year_month,adm1_name,baseline_method,value,indicator
Afghanistan,2017-01,Badakhshan,none,15.0,conflict_events
Afghanistan,2017-01,Badghis,none,17.0,conflict_events
Afghanistan,2017-01,Baghlan,none,13.0,conflict_events
Afghanistan,2017-01,Balkh,none,10.0,conflict_events
Afghanistan,2017-01,Daykundi,none,2.0,conflict_events
Afghanistan,2017-01,Farah,none,45.0,conflict_events
Afghanistan,2017-01,Faryab,none,32.0,conflict_events
Afghanistan,2017-01,Ghazni,none,52.0,conflict_events
Afghanistan,2017-01,Kabul,none,12.0,conflict_events
Afghanistan,2017-01,Kandahar,none,66.0,conflict_events
Afghanistan,2017-01,Kapisa,none,38.0,conflict_events
Afghanistan,2017-01,Khost,none,20.0,conflict_events
Afghanistan,2017-01,Kunar,none,36.0,conflict_events
Afghanistan,2017-01,Kunduz,none,33.0,conflict_events
Afghanistan,2017-01,Laghman,none,17.0,conflict_events
Afghanistan,2017-01,Logar,none,27.0,conflict_events
Afghanistan,2017-01,Maidan Wardak,none,13.0,conflict_events
Afghanistan,2017-01,Nangarhar,none,120.0,conflict_events
Afghanistan,2017-01,Nuristan,none,2.0,conflict_events
Afghanistan,2017-01,Paktika,none,15.0,conflict_events
Afghanistan,2017-01,Parwan,none,4.0,conflict_events
Afghanistan,2017-01,Samangan,none,4.0,conflict_events
Afghanistan,2017-01,Sar-e-Pul,none,13.0,conflict_events
Afghanistan,2017-01,Takhar,none,1.0,conflict_events
Afghanistan,2017-01,Zabul,none,29.0,conflict_events
Afghanistan,2017-02,Badakhshan,none,7.0,conflict_events
Afghanistan,2017-02,Badghis,none,8.0,conflict_events
Afghanistan,2017-02,Baghlan,none,10.0,conflict_events
Afghanistan,2017-02,Bamyan,none,2.0,conflict_events
Afghanistan,2017-02,Daykundi,none,4.0,conflict_events
Afghanistan,2017-02,Farah,none,28.0,conflict_events
Afghanistan,2017-02,Faryab,none,36.0,conflict_events
Afghanistan,2017-02,Ghazni,none,39.0,conflict_events
Afghanistan,2017-02,Kabul,none,7.0,conflict_events
Afghanistan,2017-02,Kandahar,none,49.0,conflict_events
Afghanistan,2017-02,Kapisa,none,24.0,conflict_events
Afghanistan,2017-02,Khost,none,25.0,conflict_events
Afghanistan,2017-02,Kunar,none,41.0,conflict_events
Afghanistan,2017-02,Kunduz,none,23.0,conflict_events
Afghanistan,2017-02,Laghman,none,30.0,conflict_events
Afghanistan,2017-02,Logar,none,12.0,conflict_events
Afghanistan,2017-02,Maidan Wardak,none,7.0,conflict_events
Afghanistan,2017-02,Nangarhar,none,110.0,conflict_events
Afghanistan,2017-02,Nuristan,none,9.0,conflict_events
Afghanistan,2017-02,Paktika,none,19.0,conflict_events
Afghanistan,2017-02,Samangan,none,3.0,conflict_events
Afghanistan,2017-02,Sar-e-Pul,none,5.0,conflict_events
Afghanistan,2017-02,Takhar,none,12.0,conflict_events
Afghanistan,2017-02,Zabul,none,9.0,conflict_events
Afghanistan,2017-03,Badakhshan,none,3.0,conflict_events
Afghanistan,2017-03,Badghis,none,36.0,conflict_events
Afghanistan,2017-03,Baghlan,none,38.0,conflict_events
Afghanistan,2017-03,Balkh,none,12.0,conflict_events
Afghanistan,2017-03,Daykundi,none,1.0,conflict_events
Afghanistan,2017-03,Farah,none,51.0,conflict_events
Afghanistan,2017-03,Faryab,none,54.0,conflict_events
Afghanistan,2017-03,Ghazni,none,67.0,conflict_events
Afghanistan,2017-03,Ghor,none,1.0,conflict_events
Afghanistan,2017-03,Kabul,none,23.0,conflict_events
