country,adm1_name,date,indicator,value,group,year,month,month_name,year_month,year_month_str
Afghanistan,Faryab,2025-01-02,percent_area_flooded,0.124885497,Unknown,2025,1,Jan,2025-01,2025-01
Afghanistan,Parwan,2025-01-02,percent_area_flooded,0.369048669,Unknown,2025,1,Jan,2025-01,2025-01
Afghanistan,Parwan,2025-01-02,percent_area_flooded,1.036617943,Unknown,2025,1,Jan,2025-01,2025-01
Afghanistan,Parwan,2025-01-02,percent_area_flooded,3.955239822,Unknown,2025,1,Jan,2025-01,2025-01
Afghanistan,Parwan,2025-01-02,percent_area_flooded,0.459758188,Unknown,2025,1,Jan,2025-01,2025-01
Afghanistan,Parwan,2025-01-02,percent_area_flooded,0.365761703,Unknown,2025,1,Jan,2025-01,2025-01
Afghanistan,Maidan Wardak,2025-01-02,percent_area_flooded,1.090949585,Unknown,2025,1,Jan,2025-01,2025-01
Afghanistan,Parwan,2025-01-02,percent_area_flooded,2.013742859,Unknown,2025,1,Jan,2025-01,2025-01
Afghanistan,Maidan Wardak,2025-01-02,percent_area_flooded,0.530591728,Unknown,2025,1,Jan,2025-01,2025-01
Afghanistan,Maidan Wardak,2025-01-02,percent_area_flooded,0.251043532,Unknown,2025,1,Jan,2025-01,2025-01
Afghanistan,Maidan Wardak,2025-01-02,percent_area_flooded,0.322425032,Unknown,2025,1,Jan,2025-01,2025-01
Afghanistan,Maidan Wardak,2025-01-02,percent_area_flooded,0.165477936,Unknown,2025,1,Jan,2025-01,2025-01
Afghanistan,Maidan Wardak,2025-01-02,percent_area_flooded,0.048154044,Unknown,2025,1,Jan,2025-01,2025-01
Afghanistan,Logar,2025-01-02,percent_area_flooded,0.764570932,Unknown,2025,1,Jan,2025-01,2025-01
Afghanistan,Logar,2025-01-02,percent_area_flooded,0.696465778,Unknown,2025,1,Jan,2025-01,2025-01
Afghanistan,Maidan Wardak,2025-01-02,percent_area_flooded,0.510611349,Unknown,2025,1,Jan,2025-01,2025-01
Afghanistan,Parwan,2025-01-02,percent_area_flooded,0.98933623,Unknown,2025,1,Jan,2025-01,2025-01
Afghanistan,Parwan,2025-01-02,percent_area_flooded,0.909971712,Unknown,2025,1,Jan,2025-01,2025-01
Afghanistan,Parwan,2025-01-02,percent_area_flooded,1.095845346,Unknown,2025,1,Jan,2025-01,2025-01
Afghanistan,Kabul,2025-01-02,percent_area_flooded,1.594612405,Unknown,2025,1,Jan,2025-01,2025-01
Afghanistan,Kabul,2025-01-02,percent_area_flooded,0.614600108,Unknown,2025,1,Jan,2025-01,2025-01
Afghanistan,Kabul,2025-01-02,percent_area_flooded,0.426366785,Unknown,2025,1,Jan,2025-01,2025-01
Afghanistan,Kabul,2025-01-02,percent_area_flooded,2.528445192,Unknown,2025,1,Jan,2025-01,2025-01
Afghanistan,Kabul,2025-01-02,percent_area_flooded,0.718159066,Unknown,2025,1,Jan,2025-01,2025-01
Afghanistan,Kabul,2025-01-02,percent_area_flooded,0.664618512,Unknown,2025,1,Jan,2025-01,2025-01
Afghanistan,Kabul,2025-01-02,percent_area_flooded,0.149291524,Unknown,2025,1,Jan,2025-01,2025-01
Afghanistan,Kabul,2025-01-02,percent_area_flooded,1.939645766,Unknown,2025,1,Jan,2025-01,2025-01
Afghanistan,Kapisa,2025-01-02,percent_area_flooded,0.879706708,Unknown,2025,1,Jan,2025-01,2025-01
Afghanistan,Kapisa,2025-01-02,percent_area_flooded,1.547746429,Unknown,2025,1,Jan,2025-01,2025-01
Afghanistan,Kapisa,2025-01-02,percent_area_flooded,0.363301371,Unknown,2025,1,Jan,2025-01,2025-01
