country,date,adm1_name,indicator,value,group,year,month,month_name,year_month,year_month_str
South Sudan,2024-01-11,Juba,percent_area_flooded,0.382284556,Central Equatoria,2024,1,Jan,2024-01,2024-01
South Sudan,2024-01-11,Twic East,percent_area_flooded,9.1142304,Jonglei,2024,1,Jan,2024-01,2024-01
South Sudan,2024-01-11,Uror,percent_area_flooded,0.122172603,Jonglei,2024,1,Jan,2024-01,2024-01
South Sudan,2024-01-11,Awerial,percent_area_flooded,3.820141883,Lakes,2024,1,Jan,2024-01,2024-01
South Sudan,2024-01-11,Cueibet,percent_area_flooded,2.485072073,Lakes,2024,1,Jan,2024-01,2024-01
South Sudan,2024-01-11,Rumbek Centre,percent_area_flooded,5.581948598,Lakes,2024,1,Jan,2024-01,2024-01
South Sudan,2024-01-11,Rumbek East,percent_area_flooded,10.16537355,Lakes,2024,1,Jan,2024-01,2024-01
South Sudan,2024-01-11,Rumbek North,percent_area_flooded,0.915682123,Lakes,2024,1,Jan,2024-01,2024-01
South Sudan,2024-01-11,Wulu,percent_area_flooded,0.325566384,Lakes,2024,1,Jan,2024-01,2024-01
South Sudan,2024-01-11,Yirol East,percent_area_flooded,7.655540492,Lakes,2024,1,Jan,2024-01,2024-01
South Sudan,2024-01-11,Yirol West,percent_area_flooded,6.165497699,Lakes,2024,1,Jan,2024-01,2024-01
South Sudan,2024-01-11,Aweil Centre,percent_area_flooded,1.041057877,Northern Bahr el Ghazal,2024,1,Jan,2024-01,2024-01
South Sudan,2024-01-11,Aweil East,percent_area_flooded,10.53968447,Northern Bahr el Ghazal,2024,1,Jan,2024-01,2024-01
South Sudan,2024-01-11,Aweil North,percent_area_flooded,5.108908753,Northern Bahr el Ghazal,2024,1,Jan,2024-01,2024-01
South Sudan,2024-01-11,Aweil South,percent_area_flooded,13.3148749,Northern Bahr el Ghazal,2024,1,Jan,2024-01,2024-01
South Sudan,2024-01-11,Aweil West,percent_area_flooded,8.614695275,Northern Bahr el Ghazal,2024,1,Jan,2024-01,2024-01
South Sudan,2024-01-11,Pochalla,percent_area_flooded,0.633934248,Jonglei,2024,1,Jan,2024-01,2024-01
