year_month,Alarm,Alert,No concern,alarms_percentile,alerts_percentile,alarms_tukey,alerts_tukey,alarms_zscore,alerts_zscore,minimal_percentile,minimal_tukey,minimal_zscore,alarm_percentile_pct,alert_percentile_pct,minimal_percentile_pct,alarm_tukey_pct,alert_tukey_pct,minimal_tukey_pct,alarm_zscore_pct,alert_zscore_pct,minimal_zscore_pct,indicator,date
1990-01,2,2,130,2,2,2,2,2,2,130,130,130,1.49,1.49,97.01,1.49,1.49,97.01,1.49,1.49,97.01,rainfall 1-month anomaly [%],1990-01-01
1990-02,0,1,133,0,1,0,1,0,1,133,133,133,0.0,0.75,99.25,0.0,0.75,99.25,0.0,0.75,99.25,rainfall 1-month anomaly [%],1990-02-01
1990-03,7,14,113,7,14,7,14,7,14,113,113,113,5.22,10.45,84.33,5.22,10.45,84.33,5.22,10.45,84.33,rainfall 1-month anomaly [%],1990-03-01
1990-04,4,30,100,4,30,4,30,4,30,100,100,100,2.99,22.39,74.63,2.99,22.39,74.63,2.99,22.39,74.63,rainfall 1-month anomaly [%],1990-04-01
1990-05,16,34,84,16,34,16,34,16,34,84,84,84,11.94,25.37,62.69,11.94,25.37,62.69,11.94,25.37,62.69,rainfall 1-month anomaly [%],1990-05-01
1990-06,23,44,67,23,44,23,44,23,44,67,67,67,17.16,32.84,50.0,17.16,32.84,50.0,17.16,32.84,50.0,rainfall 1-month anomaly [%],1990-06-01
1990-07,1,9,124,1,9,1,9,1,9,124,124,124,0.75,6.72,92.54,0.75,6.72,92.54,0.75,6.72,92.54,rainfall 1-month anomaly [%],1990-07-01
1990-08,0,11,123,0,11,0,11,0,11,123,123,123,0.0,8.21,91.79,0.0,8.21,91.79,0.0,8.21,91.79,rainfall 1-month anomaly [%],1990-08-01
1990-09,0,9,125,0,9,0,9,0,9,125,125,125,0.0,6.72,93.28,0.0,6.72,93.28,0.0,6.72,93.28,rainfall 1-month anomaly [%],1990-09-01
1990-10,10,19,105,10,19,10,19,10,19,105,105,105,7.46,14.18,78.36,7.46,14.18,78.36,7.46,14.18,78.36,rainfall 1-month anomaly [%],1990-10-01
1990-11,4,23,107,4,23,4,23,4,23,107,107,107,2.99,17.16,79.85,2.99,17.16,79.85,2.99,17.16,79.85,rainfall 1-month anomaly [%],1990-11-01
1990-12,0,8,126,0,8,0,8,0,8,126,126,126,0.0,5.97,94.03,0.0,5.97,94.03,0.0,5.97,94.03,rainfall 1-month anomaly [%],1990-12-01
1991-01,0,6,128,0,6,0,6,0,6,128,128,128,0.0,4.48,95.52,0.0,4.48,95.52,0.0,4.48,95.52,rainfall 1-month anomaly [%],1991-01-01
1991-02,10,7,117,10,7,10,7,10,7,117,117,117,7.46,5.22,87.31,7.46,5.22,87.31,7.46,5.22,87.31,rainfall 1-month anomaly [%],1991-02-01
1991-03,7,15,112,7,15,7,15,7,15,112,112,112,5.22,11.19,83.58,5.22,11.19,83.58,5.22,11.19,83.58,rainfall 1-month anomaly [%],1991-03-01
1991-04,0,2,132,0,2,0,2,0,2,132,132,132,0.0,1.49,98.51,0.0,1.49,98.51,0.0,1.49,98.51,rainfall 1-month anomaly [%],1991-04-01
1991-05,2,5,127,2,5,2,5,2,5,127,127,127,1.49,3.73,94.78,1.49,3.73,94.78,1.49,3.73,94.78,rainfall 1-month anomaly [%],1991-05-01
1991-06,0,0,134,0,0,0,0,0,0,134,134,134,0.0,0.0,100.0,0.0,0.0,100.0,0.0,0.0,100.0,rainfall 1-month anomaly [%],1991-06-01
