indicator,alert_percentile,alarm_percentile,alert_tukey,alarm_tukey,retention_filter,season_scope,baseline_method,country,q1_median,q3_median,median_iqr,alert_zscore,alarm_zscore
rainfall-mm,-1.0,-2.0,,,none,All Months,none,Afghanistan,,,,,
ndvi_absolute,0.41325148135692,-0.8316053730868168,-1.3845922701763786,-1.8433869933931692,none,All Months,none,Afghanistan,-0.46700282374279783,0.5075403360131726,0.9175894464335809,-0.9787730059583192,-1.9575460119166384
ndvi_absolute,0.41325148135692,-0.8316053730868168,-1.3845922701763786,-1.8433869933931692,>=40%,All Months,none,Afghanistan,-0.46700282374279783,0.5075403360131726,0.9175894464335809,-0.9787730059583192,-1.9575460119166384
ndvi_absolute,0.4326665879493195,-0.8642317331407965,-1.4028557149344032,-1.8677331190304551,none,Growing (Apr–Jul),none,Afghanistan,-0.4731009067422994,0.5353133441597757,0.9297548081921039,-0.9787730059583192,-1.9575460119166384
ndvi_absolute,0.3943107685135382,-0.8142427303328856,-1.3549464080275,-1.8102363793166938,none,Dormant (Aug–Mar),none,Afghanistan,-0.44436646544911246,0.5015236967753633,0.9105799425783876,-0.9787730059583192,-1.9575460119166384
conflict_events,12.0,31.5,32.25,37.875,none,All Months,none,Afghanistan,7.0,21.0,11.25,,
conflict_events,12.0,31.5,32.25,37.875,>=40%,All Months,none,Afghanistan,7.0,21.0,11.25,,
conflict_fatalities,19.5,104.0,76.5,94.75,none,All Months,none,Afghanistan,4.5,40.0,36.5,,
conflict_fatalities,19.5,104.0,76.5,94.75,>=40%,All Months,none,Afghanistan,4.5,40.0,36.5,,
Bread,18.525714285714283,49.55529865835756,49.709091941625196,59.62500487150213,none,All Months,YOY,Afghanistan,8.112676056338028,29.87726608187134,19.831825859753856,24.131663760512854,44.52957079088904
Bread,19.39837772397094,53.65294117647059,55.4017821648359,65.6867856070265,>=40%,All Months,YOY,Afghanistan,11.788145134779853,34.83177528045472,20.57000688438118,24.131663760512854,44.52957079088904
Bread,11.344345161542854,32.1586494313767,30.393135849657583,36.42303710781971,none,All Months,LTM,Afghanistan,5.357142857142857,18.33333333333333,12.059802516324254,16.845329865549544,33.462010532930414
Bread,13.460589939706267,39.377548459758415,36.086697329752965,42.78830168821123,>=40%,All Months,LTM,Afghanistan,6.601562500000005,22.68348861283644,13.403208716916524,16.845329865549544,33.462010532930414
Bread,7.1226809384989505,24.835419655314723,20.924210099363826,25.188086941701762,none,All Months,FIVE_YEAR,Afghanistan,2.5979245983653065,12.396456414687954,8.527753684675872,9.563314024146813,24.165504027135412
Bread,5.832859123103767,25.287827661120822,18.23719255520498,22.308017692148745,>=40%,All Months,FIVE_YEAR,Afghanistan,1.911261637018148,10.09554228131745,8.141650273887532,9.563314024146813,24.165504027135412
Bread,56.0,77.0,82.655,90.26750000000001,none,All Months,Nominal,Afghanistan,50.0,67.43,15.225000000000001,74.50886113680174,88.76798723477296
Bread,56.0,77.0,82.655,90.26750000000001,>=40%,All Months,Nominal,Afghanistan,50.0,67.43,15.225000000000001,74.50886113680174,88.76798723477296
Exchange rate,10.443935845575192,11.73511747513636,12.030448602977032,12.461587416069072,none,All Months,YOY,Afghanistan,10.016464471403815,11.168170976792954,0.8622776261840783,10.854987686227554,23.477352445897854
Exchange rate,10.480519480519472,12.047359296148626,12.282382154586633,12.71578102408774,>=40%,All Months,YOY,Afghanistan,10.175786085664768,11.415584415584423,0.8667977390022106,10.854987686227554,23.477352445897854
Exchange rate,12.873011391765939,13.7418739992974,13.84086955403826,14.156049777966249,none,All Months,LTM,Afghanistan,12.53379950249042,13.210509106182283,0.6303604478559777,14.763602489855051,27.067079002487656
Exchange rate,12.873011391765939,13.7418739992974,13.84086955403826,14.156049777966249,>=40%,All Months,LTM,Afghanistan,12.53379950249042,13.210509106182283,0.6303604478559777,14.763602489855051,27.067079002487656
Exchange rate,,,,,none,All Months,FIVE_YEAR,Afghanistan,,,,-13.929470729818872,-11.148460940126622
Exchange rate,77.0,77.39,77.3425,77.51375,none,All Months,Nominal,Afghanistan,77.0,77.0,0.34250000000000114,87.77455435371131,96.99082037989648
Exchange rate,77.0,77.39,77.3425,77.51375,>=40%,All Months,Nominal,Afghanistan,77.0,77.0,0.34250000000000114,87.77455435371131,96.99082037989648
Fuel (diesel),31.42043235640495,39.10379958383105,43.72877383553012,48.26052117531645,none,All Months,YOY,Afghanistan,24.07822205767411,34.665279155957464,9.063494679572656,58.83180523337117,100.11849510827494
Fuel (diesel),42.02253360962317,52.16627921202705,54.94899812719101,59.528545265750296,>=40%,All Months,YOY,Afghanistan,38.35594068888656,45.78990385007245,9.159094277118562,58.83180523337117,100.11849510827494
Fuel (diesel),6.949737261274485,15.93214962735778,15.851617226847399,17.848358569860203,none,All Months,LTM,Afghanistan,5.168194137108959,11.858134540821789,3.9934826860256107,29.066885759934923,56.13431306849318
Fuel (diesel),12.857765509225642,21.252496823251345,24.33012610109451,26.412370181409717,>=40%,All Months,LTM,Afghanistan,11.51000073265439,20.165637940464098,4.1644881606304125,29.066885759934923,56.13431306849318
Fuel (diesel),6.185474099136483,9.021855044966749,12.157532448179799,14.28989849914256,none,All Months,FIVE_YEAR,Afghanistan,4.103148784263816,7.892800346254278,4.264732101925521,9.463667279365971,17.922248502988015
Fuel (diesel),8.707833806538783,11.701112736351003,14.928532425041636,17.115976402292713,>=40%,All Months,FIVE_YEAR,Afghanistan,5.565692535713404,10.553644470539481,4.374887954502155,9.463667279365971,17.922248502988015
Fuel (diesel),62.87,66.818,68.0,69.89,none,All Months,Nominal,Afghanistan,61.34,64.22,3.780000000000001,82.29996511549454,99.92086919812523
Fuel (diesel),62.87,66.818,68.0,69.89,>=40%,All Months,Nominal,Afghanistan,61.34,64.22,3.780000000000001,82.29996511549454,99.92086919812523
Oil (cooking),25.23532175208641,35.49703023569576,45.90865643562828,52.687138314287324,none,All Months,YOY,Afghanistan,18.996648584604138,32.35169267831019,13.556963757318094,41.99537280309066,76.91016568115855
Oil (cooking),25.54553049289892,36.42420448855102,46.43326969010425,53.30485947663515,>=40%,All Months,YOY,Afghanistan,19.13012704174229,32.690090117042445,13.743179573061804,41.99537280309066,76.91016568115855
Oil (cooking),11.479139349511186,28.165539333934557,30.588063212888063,35.927497711644826,none,All Months,LTM,Afghanistan,4.43487415552218,19.909194215374534,10.67886899751353,35.27104989254991,62.49783484416409
Oil (cooking),21.1126738552899,33.95750719462813,41.9577734042156,48.366191334200884,>=40%,All Months,LTM,Afghanistan,10.406532822465163,29.140937544245045,12.81683585997056,35.27104989254991,62.49783484416409
Oil (cooking),5.734467672406835,12.203231840263662,15.68073740737215,18.904901932876978,none,All Months,FIVE_YEAR,Afghanistan,2.092071045668585,9.232408356362495,6.448329051009656,0.37965728945843047,9.734724119358676
Oil (cooking),6.979457786402479,15.79698767431142,16.100518739424437,19.224754411961058,>=40%,All Months,FIVE_YEAR,Afghanistan,3.6035760492779616,9.8520473943512,6.248471345073239,0.37965728945843047,9.734724119358676
Oil (cooking),115.66,129.6,129.85,135.1,none,All Months,Nominal,Afghanistan,109.55,119.35,10.5,157.58366740119735,189.81679276227516
Oil (cooking),115.66,129.6,129.85,135.1,>=40%,All Months,Nominal,Afghanistan,109.55,119.35,10.5,157.58366740119735,189.81679276227516
Pulses,8.080421536126766,19.74303343098891,24.194142502415865,29.142342756258632,none,All Months,YOY,Afghanistan,4.498153103169951,14.297741994730336,9.89640050768553,19.1975783375353,35.881121727556966
Pulses,11.193884889808679,23.075398074229092,29.145735879440696,34.58319665485225,>=40%,All Months,YOY,Afghanistan,7.326803798360245,18.27081432861759,10.874921550823107,19.1975783375353,35.881121727556966
Pulses,5.620690609547395,15.470965632866937,18.82377664398446,22.84536852531611,none,All Months,LTM,Afghanistan,3.09678050114873,10.780592881321152,8.043183762663308,12.180047511436848,24.39599624614567
Pulses,8.128608690488367,19.08865345955239,24.20305692261253,29.14601731072418,>=40%,All Months,LTM,Afghanistan,4.3946180689222025,14.317136146389227,9.885920776223301,12.180047511436848,24.39599624614567
Pulses,9.54814367089767,16.985105721883574,24.166190292195378,29.049921417662514,none,All Months,FIVE_YEAR,Afghanistan,3.944942934287456,14.398728041261105,9.767462250934273,5.162747734453376,16.60998708095316
